"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Odocoileus virginianus clavium","Key deer","Wherever found","4","Endangered","Mammals"
"Trichechus manatus","West Indian Manatee","Wherever found","4","Threatened","Mammals"
"Puma (=Felis) concolor coryi","Florida panther","Wherever found","4","Endangered","Mammals"
"Myotis grisescens","Gray bat","Wherever found","3","Endangered","Mammals"
"Oryzomys palustris natator","Silver rice rat","lower FL Keys","4","Endangered","Mammals"
"Peromyscus gossypinus allapaticola","Key Largo cotton mouse","Wherever found","4","Endangered","Mammals"
"Neotoma floridana smalli","Key Largo woodrat","Wherever found","4","Endangered","Mammals"
"Peromyscus polionotus allophrys","Choctawhatchee beach mouse","Wherever found","4","Endangered","Mammals"
"Peromyscus polionotus trissyllepsis","Perdido Key beach mouse","Wherever found","4","Endangered","Mammals"
"Sylvilagus palustris hefneri","Lower Keys marsh rabbit","Wherever found","4","Endangered","Mammals"
"Peromyscus polionotus phasma","Anastasia Island beach mouse","Wherever found","4","Endangered","Mammals"
"Peromyscus polionotus niveiventris","Southeastern beach mouse","wherever found","4","Threatened","Mammals"
"Peromyscus polionotus peninsularis","St. Andrew beach mouse","Wherever found","4","Endangered","Mammals"
"Microtus pennsylvanicus dukecampbelli","Florida salt marsh vole","Wherever found","4","Endangered","Mammals"
"Ammodramus maritimus mirabilis","Cape Sable seaside sparrow","Wherever found","4","Endangered","Birds"
"Vermivora bachmanii","Bachman's warbler (=wood)","Wherever found","4","Endangered","Birds"
"Picoides borealis","Red-cockaded woodpecker","Wherever found","4","Endangered","Birds"
"Mycteria americana","Wood stork","AL, FL, GA, MS, NC, SC","4","Threatened","Birds"
"Polyborus plancus audubonii","Audubon's crested caracara","FL pop.","4","Threatened","Birds"
"Charadrius melodus","Piping Plover","[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.","5","Threatened","Birds"
"Ammodramus savannarum floridanus","Florida grasshopper sparrow","Wherever found","4","Endangered","Birds"
"Sterna dougallii dougallii","Roseate tern","Western Hemisphere except NE U.S.","4","Threatened","Birds"
"Aphelocoma coerulescens","Florida scrub-jay","Wherever found","4","Threatened","Birds"
"Eretmochelys imbricata","Hawksbill sea turtle","Wherever found","4","Endangered","Reptiles"
"Dermochelys coriacea","Leatherback sea turtle","Wherever found","4","Endangered","Reptiles"
"Lepidochelys kempii","Kemp's ridley sea turtle","Wherever found","2","Endangered","Reptiles"
"Nerodia clarkii taeniata","Atlantic salt marsh snake","Wherever found","4","Threatened","Reptiles"
"Drymarchon couperi","Eastern indigo snake","Wherever found","4","Threatened","Reptiles"
"Crocodylus acutus","American crocodile","U.S.A. (FL)","4","Threatened","Reptiles"
"Eumeces egregius lividus","Bluetail mole skink","Wherever found","4","Threatened","Reptiles"
"Neoseps reynoldsi","Sand skink","Wherever found","4","Threatened","Reptiles"
"Ambystoma cingulatum","Frosted Flatwoods salamander","Wherever found","4","Threatened","Amphibians"
"Etheostoma okaloosae","Okaloosa darter","Wherever found","4","Threatened","Fishes"
"Acipenser oxyrinchus (=oxyrhynchus) desotoi","Gulf sturgeon","Wherever found","4","Threatened","Fishes"
"Elliptoideus sloatianus","Purple bankclimber (mussel)","Wherever found","4","Threatened","Clams"
"Pleurobema pyriforme","Oval pigtoe","Wherever found","4","Endangered","Clams"
"Hamiota subangulata","Shinyrayed pocketbook","Wherever found","4","Endangered","Clams"
"Amblema neislerii","Fat threeridge (mussel)","Wherever found","4","Endangered","Clams"
"Medionidus penicillatus","Gulf moccasinshell","Wherever found","4","Endangered","Clams"
"Medionidus simpsonianus","Ochlockonee moccasinshell","Wherever found","4","Endangered","Clams"
"Elliptio chipolaensis","Chipola slabshell","Wherever found","4","Threatened","Clams"
"Orthalicus reses (not incl. nesodryas)","Stock Island tree snail","Wherever found","4","Threatened","Snails"
"Heraclides aristodemus ponceanus","Schaus swallowtail butterfly","Wherever found","4","Endangered","Insects"
"Palaemonetes cummingi","Squirrel Chimney Cave shrimp","Wherever found","4","Threatened","Crustaceans"
"Asimina tetramera","Four-petal pawpaw","","4","Endangered","Flowering Plants"
"Campanula robinsiae","Brooksville bellflower","","4","Endangered","Flowering Plants"
"Cereus eriophorus var. fragrans","Fragrant prickly-apple","","4","Endangered","Flowering Plants"
"Chamaesyce garberi","Garber's spurge","","4","Threatened","Flowering Plants"
"Conradina brevifolia","Short-leaved rosemary","","4","Endangered","Flowering Plants"
"Conradina glabra","Apalachicola rosemary","","4","Endangered","Flowering Plants"
"Dicerandra frutescens","Scrub mint","","4","Endangered","Flowering Plants"
"Dicerandra immaculata","Lakela's mint","","4","Endangered","Flowering Plants"
"Harperocallis flava","Harper's beauty","","4","Endangered","Flowering Plants"
"Hypericum cumulicola","Highlands scrub hypericum","","4","Endangered","Flowering Plants"
"Justicia cooleyi","Cooley's water-willow","","4","Endangered","Flowering Plants"
"Liatris ohlingerae","Scrub blazingstar","","4","Endangered","Flowering Plants"
"Macbridea alba","White birds-in-a-nest","","4","Threatened","Flowering Plants"
"Paronychia chartacea","Papery whitlow-wort","","4","Threatened","Flowering Plants"
"Polygala lewtonii","Lewton's polygala","","4","Endangered","Flowering Plants"
"Polygonella basiramia","Wireweed","","4","Endangered","Flowering Plants"
"Polygonella myriophylla","Sandlace","","4","Endangered","Flowering Plants"
"Prunus geniculata","Scrub plum","","4","Endangered","Flowering Plants"
"Rhododendron chapmanii","Chapman rhododendron","","4","Endangered","Flowering Plants"
"Ribes echinellum","Miccosukee gooseberry","","4","Threatened","Flowering Plants"
"Silene polypetala","Fringed campion","Wherever found","4","Endangered","Flowering Plants"
"Spigelia gentianoides","Gentian pinkroot","","4","Endangered","Flowering Plants"
"Thalictrum cooleyi","Cooley's meadowrue","Wherever found","4","Endangered","Flowering Plants"
"Bonamia grandiflora","Florida bonamia","","4","Threatened","Flowering Plants"
"Chionanthus pygmaeus","Pygmy fringe-tree","","4","Endangered","Flowering Plants"
"Chrysopsis floridana","Florida golden aster","","4","Endangered","Flowering Plants"
"Clitoria fragrans","Pigeon wings","","4","Threatened","Flowering Plants"
