"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Myotis sodalis","Indiana bat","Wherever found","3","Endangered","Mammals"
"Myotis grisescens","Gray bat","Wherever found","3","Endangered","Mammals"
"Corynorhinus (=Plecotus) townsendii ingens","Ozark big-eared bat","Wherever found","2","Endangered","Mammals"
"Etheostoma nianguae","Niangua darter","Wherever found","3","Threatened","Fishes"
"Amblyopsis rosae","Ozark cavefish","Wherever found","4","Threatened","Fishes"
"Noturus placidus","Neosho madtom","Wherever found","6","Threatened","Fishes"
"Scaphirhynchus albus","Pallid sturgeon","Wherever found","6","Endangered","Fishes"
"Notropis topeka (=tristis)","Topeka shiner","Wherever found, except where listed as an experimental population","6","Endangered","Fishes"
"Lampsilis higginsii","Higgins eye (pearlymussel)","Wherever found","3","Endangered","Clams"
"Quadrula fragosa","Winged Mapleleaf","Wherever found, except where listed as an experimental population","3","Endangered","Clams"
"Lampsilis abrupta","Pink mucket (pearlymussel)","Wherever found","3","Endangered","Clams"
"Epioblasma florentina curtisii","Curtis pearlymussel","Wherever found","3","Endangered","Clams"
"Potamilus capax","Fat pocketbook","Wherever found","4","Endangered","Clams"
"Leptodea leptodon","Scaleshell mussel","Wherever found","3","Endangered","Clams"
"Antrobia culveri","Tumbling Creek cavesnail","Wherever found","3","Endangered","Snails"
"Somatochlora hineana","Hine's emerald dragonfly","Wherever found","3","Endangered","Insects"
"Cambarus aculabrum","Benton County cave crayfish","Wherever found","4","Endangered","Crustaceans"
"Asclepias meadii","Mead's milkweed","Wherever found","3","Threatened","Flowering Plants"
"Geocarpon minimum","No common name","Wherever found","4","Threatened","Flowering Plants"
"Boltonia decurrens","Decurrent false aster","Wherever found","3","Threatened","Flowering Plants"
"Lindera melissifolia","Pondberry","Wherever found","4","Endangered","Flowering Plants"
"Platanthera leucophaea","Eastern prairie fringed orchid","Wherever found","3","Threatened","Flowering Plants"
"Helenium virginicum","Virginia sneezeweed","Wherever found","5","Threatened","Flowering Plants"
"Platanthera praeclara","Western prairie fringed Orchid","Wherever found","3","Threatened","Flowering Plants"
"Quadrula cylindrica cylindrica","Rabbitsfoot","Wherever found","4","Threatened","Clams"
"Lampsilis rafinesqueana","Neosho Mucket","Wherever found","4","Endangered","Clams"
"Cottus specus","Grotto Sculpin","Wherever found","3","Endangered","Fishes"
"Cumberlandia monodonta","Spectaclecase (mussel)","Wherever found","3","Endangered","Clams"
"Epioblasma triquetra","Snuffbox mussel","Wherever found","3","Endangered","Clams"
"Plethobasus cyphyus","Sheepnose Mussel","Wherever found","3","Endangered","Clams"
"Cryptobranchus alleganiensis bishopi","Ozark Hellbender","Wherever found","3","Endangered","Amphibians"
"Physaria filiformis","Missouri bladderpod","Wherever found","3","Threatened","Flowering Plants"
"Calidris canutus rufa","Red knot","Wherever found","5","Threatened","Birds"
"Myotis septentrionalis","Northern Long-Eared Bat","Wherever found","3","Threatened","Mammals"
"Nicrophorus americanus","American burying beetle","Ex Pop, SW Missouri","3","Experimental Population, Non-Essential","Insects"
"Cryptobranchus alleganiensis alleganiensis","Eastern Hellbender","Missouri DPS","3","Endangered","Amphibians"
