"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Lasiurus cinereus semotus","Hawaiian hoary bat","Wherever found","1","Endangered","Mammals"
"Anas wyvilliana","Hawaiian (=koloa) Duck","Wherever found","1","Endangered","Birds"
"Branta (=Nesochen) sandvicensis","Hawaiian goose","Wherever found","1","Threatened","Birds"
"Gallinula galeata sandvicensis","Hawaiian common gallinule","Wherever found","1","Endangered","Birds"
"Pterodroma sandwichensis","Hawaiian petrel","Wherever found","1","Endangered","Birds"
"Phoebastria (=Diomedea) albatrus","Short-tailed albatross","Wherever found","7","Endangered","Birds"
"Loxops coccineus","Hawaii akepa","Wherever found","1","Endangered","Birds"
"Himantopus mexicanus knudseni","Hawaiian stilt","Wherever found","1","Endangered","Birds"
"Fulica americana alai","Hawaiian coot","Wherever found","1","Endangered","Birds"
"Puffinus auricularis newelli","Newell's Townsend's shearwater","Wherever found","1","Threatened","Birds"
"Eretmochelys imbricata","Hawksbill sea turtle","Wherever found","4","Endangered","Reptiles"
"Dermochelys coriacea","Leatherback sea turtle","Wherever found","4","Endangered","Reptiles"
"Lepidochelys olivacea","Olive ridley sea turtle","Wherever found, except when listed as endangered under 50 CFR 224.101","4","Threatened","Reptiles"
"Erinna newcombi","Newcomb's snail","Wherever found","1","Threatened","Snails"
"Manduca blackburni","Blackburn's sphinx moth","Wherever found","1","Endangered","Insects"
"Achyranthes mutica","No common name","Wherever found","1","Endangered","Flowering Plants"
"Amaranthus brownii","No common name","Wherever found","1","Endangered","Flowering Plants"
"Mezoneuron kavaiense","Uhi uhi","Wherever found","1","Endangered","Flowering Plants"
"Clermontia drepanomorpha","`Oha wai","Wherever found","1","Endangered","Flowering Plants"
"Cyanea humboldtiana","Haha","Wherever found","1","Endangered","Flowering Plants"
"Cyrtandra dentata","Ha`iwale","Wherever found","1","Endangered","Flowering Plants"
"Cyanea rivularis","Haha","Wherever found","1","Endangered","Flowering Plants"
"Delissea undulata","No common name","Wherever found","1","Endangered","Flowering Plants"
"Eragrostis fosbergii","Fosberg's love grass","Wherever found","1","Endangered","Flowering Plants"
"Euphorbia haeleeleana","`Akoko","Wherever found","1","Endangered","Flowering Plants"
"Hibiscadelphus giffardianus","Hau kuahiwi","Wherever found","1","Endangered","Flowering Plants"
"Hibiscadelphus hualalaiensis","Hau kuahiwi","Wherever found","1","Endangered","Flowering Plants"
"Isodendrion laurifolium","Aupaka","Wherever found","1","Endangered","Flowering Plants"
"Isodendrion longifolium","Aupaka","Wherever found","1","Threatened","Flowering Plants"
"Labordia triflora","Kamakahala","Wherever found","1","Endangered","Flowering Plants"
"Lepidium arbuscula","`Anaunau","Wherever found","1","Endangered","Flowering Plants"
"Lobelia koolauensis","No common name","Wherever found","1","Endangered","Flowering Plants"
"Melicope saint-johnii","Alani","Wherever found","1","Endangered","Flowering Plants"
"Myrsine linearifolia","Kolea","Wherever found","1","Threatened","Flowering Plants"
"Neraudia ovata","No common name","Wherever found","1","Endangered","Flowering Plants"
"Panicum niihauense","Lau `ehu","Wherever found","1","Endangered","Flowering Plants"
"Phyllostegia hirsuta","No common name","Wherever found","1","Endangered","Flowering Plants"
"Phyllostegia knudsenii","No common name","Wherever found","1","Endangered","Flowering Plants"
"Phyllostegia parviflora","No common name","Wherever found","1","Endangered","Flowering Plants"
"Pritchardia aylmer-robinsonii","loulu","Wherever found","1","Endangered","Flowering Plants"
"Pritchardia remota","loulu","Wherever found","1","Endangered","Flowering Plants"
"Sanicula purpurea","No common name","Wherever found","1","Endangered","Flowering Plants"
"Schiedea hookeri","No common name","Wherever found","1","Endangered","Flowering Plants"
"Schiedea kealiae","Ma`oli`oli","Wherever found","1","Endangered","Flowering Plants"
"Schiedea membranacea","No common name","Wherever found","1","Endangered","Flowering Plants"
"Schiedea sarmentosa","No common name","Wherever found","1","Endangered","Flowering Plants"
"Schiedea verticillata","No common name","Wherever found","1","Endangered","Flowering Plants"
"Abutilon eremitopetalum","No common name","Wherever found","1","Endangered","Flowering Plants"
"Abutilon menziesii","Ko`oloa`ula","Wherever found","1","Endangered","Flowering Plants"
"Abutilon sandwicense","No common name","Wherever found","1","Endangered","Flowering Plants"
"Acaena exigua","Liliwai","Wherever found","1","Endangered","Flowering Plants"
"Alectryon macrococcus","Mahoe","Wherever found","1","Endangered","Flowering Plants"
"Schiedea obovata","No common name","Wherever found","1","Endangered","Flowering Plants"
"Schiedea trinervis","No common name","Wherever found","1","Endangered","Flowering Plants"
"Argyroxiphium kauense","Mauna Loa (=Ka'u) silversword","Wherever found","1","Endangered","Flowering Plants"
"Argyroxiphium sandwicense ssp. macrocephalum","`Ahinahina","Wherever found","1","Threatened","Flowering Plants"
"Bidens micrantha ssp. kalealaha","Ko`oko`olau","Wherever found","1","Endangered","Flowering Plants"
"Bidens wiebkei","Ko`oko`olau","Wherever found","1","Endangered","Flowering Plants"
"Bonamia menziesii","No common name","Wherever found","1","Endangered","Flowering Plants"
"Brighamia insignis","Olulu","Wherever found","1","Endangered","Flowering Plants"
"Brighamia rockii","Pua `ala","Wherever found","1","Endangered","Flowering Plants"
"Canavalia molokaiensis","`Awikiwiki","Wherever found","1","Endangered","Flowering Plants"
"Cenchrus agrimonioides","Kamanomano","Wherever found","1","Endangered","Flowering Plants"
"Euphorbia celastroides var. kaenana","`Akoko","Wherever found","1","Endangered","Flowering Plants"
"Euphorbia halemanui","''Akoko","Wherever found","1","Endangered","Flowering Plants"
"Euphorbia skottsbergii var. skottsbergii","Ewa Plains `akoko","Wherever found","1","Endangered","Flowering Plants"
"Clermontia lindseyana","`Oha wai","Wherever found","1","Endangered","Flowering Plants"
"Clermontia peleana","`Oha wai","Wherever found","1","Endangered","Flowering Plants"
"Clermontia pyrularia","`Oha wai","Wherever found","1","Endangered","Flowering Plants"
"Colubrina oppositifolia","Kauila","Wherever found","1","Endangered","Flowering Plants"
"Cyanea grimesiana ssp. grimesiana","Haha","Wherever found","1","Endangered","Flowering Plants"
"Cyanea mceldowneyi","Haha","Wherever found","1","Endangered","Flowering Plants"
"Cyanea shipmanii","Haha","Wherever found","1","Endangered","Flowering Plants"
"Cyanea st.-johnii","Haha","Wherever found","1","Endangered","Flowering Plants"
"Cyanea superba","Haha","Wherever found","1","Endangered","Flowering Plants"
"Cyrtandra polyantha","Ha`iwale","Wherever found","1","Endangered","Flowering Plants"
"Cyrtandra subumbellata","Ha`iwale","Wherever found","1","Endangered","Flowering Plants"
"Delissea rhytidosperma","No common name","Wherever found","1","Endangered","Flowering Plants"
"Delissea subcordata","Oha","Wherever found","1","Endangered","Flowering Plants"
"Dubautia latifolia","Koholapehu","Wherever found","1","Endangered","Flowering Plants"
"Gardenia brighamii","Hawaiian gardenia (=Na`u)","Wherever found","1","Endangered","Flowering Plants"
"Geranium arboreum","Nohoanu","Wherever found","1","Endangered","Flowering Plants"
"Gouania hillebrandii","No common name","Wherever found","1","Endangered","Flowering Plants"
"Gouania meyenii","No common name","Wherever found","1","Endangered","Flowering Plants"
"Gouania vitifolia","No common name","Wherever found","1","Endangered","Flowering Plants"
"Haplostachys haplostachya","Honohono","Wherever found","1","Endangered","Flowering Plants"
"Kadua cookiana","'Awiwi","Wherever found","1","Endangered","Flowering Plants"
"Kadua coriacea","Kio`ele","Wherever found","1","Endangered","Flowering Plants"
"Kadua degeneri","No common name","Wherever found","1","Endangered","Flowering Plants"
"Kadua laxiflora","pilo","Wherever found","1","Endangered","Flowering Plants"
"Kadua parvula","No common name","Wherever found","1","Endangered","Flowering Plants"
"Kadua st.-johnii","No common name","Wherever found","1","Endangered","Flowering Plants"
"Hesperomannia arborescens","No common name","Wherever found","1","Endangered","Flowering Plants"
"Hesperomannia arbuscula","No common name","Wherever found","1","Endangered","Flowering Plants"
"Hesperomannia lydgatei","No common name","Wherever found","1","Endangered","Flowering Plants"
"Hibiscadelphus distans","Kauai hau kuahiwi","Wherever found","1","Endangered","Flowering Plants"
"Hibiscus brackenridgei","(=Native yellow hibiscus) ma`o hau hele","Wherever found","1","Endangered","Flowering Plants"
"Hibiscus clayi","Clay's hibiscus","Wherever found","1","Endangered","Flowering Plants"
"Hibiscus waimeae ssp. hannerae","Koki`o ke`oke`o","Wherever found","1","Endangered","Flowering Plants"
"Isodendrion pyrifolium","wahine noho Kula","Wherever found","1","Endangered","Flowering Plants"
"Kokia cookei","Cooke's koki`o","Wherever found","1","Endangered","Flowering Plants"
"Kokia drynarioides","Koki`o","Wherever found","1","Endangered","Flowering Plants"
"Kokia kauaiensis","Koki`o","Wherever found","1","Endangered","Flowering Plants"
"Lipochaeta fauriei","nehe","Wherever found","1","Endangered","Flowering Plants"
"Lipochaeta lobata var. leptophylla","nehe","Wherever found","1","Endangered","Flowering Plants"
"Lipochaeta venosa","nehe","Wherever found","1","Endangered","Flowering Plants"
"Lobelia niihauensis","No common name","Wherever found","1","Endangered","Flowering Plants"
"Lobelia oahuensis","No common name","Wherever found","1","Endangered","Flowering Plants"
"Melicope balloui","Alani","Wherever found","1","Endangered","Flowering Plants"
"Melicope haupuensis","Alani","Wherever found","1","Endangered","Flowering Plants"
"Melicope knudsenii","Alani","Wherever found","1","Endangered","Flowering Plants"
"Melicope lydgatei","Alani","Wherever found","1","Endangered","Flowering Plants"
"Melicope mucronulata","Alani","Wherever found","1","Endangered","Flowering Plants"
"Melicope munroi","Alani","Wherever found","1","Endangered","Flowering Plants"
"Melicope ovalis","Alani","Wherever found","1","Endangered","Flowering Plants"
"Melicope pallida","Alani","Wherever found","1","Endangered","Flowering Plants"
"Melicope quadrangularis","Alani","Wherever found","1","Endangered","Flowering Plants"
"Melicope reflexa","Alani","Wherever found","1","Endangered","Flowering Plants"
"Melicope zahlbruckneri","Alani","Wherever found","1","Endangered","Flowering Plants"
"Polyscias racemosa","No common name","Wherever found","1","Endangered","Flowering Plants"
"Neraudia sericea","No common name","Wherever found","1","Endangered","Flowering Plants"
"Nothocestrum breviflorum","`Aiea","Wherever found","1","Endangered","Flowering Plants"
"Nothocestrum peltatum","`Aiea","Wherever found","1","Endangered","Flowering Plants"
"Nototrichium humile","Kulu`i","Wherever found","1","Endangered","Flowering Plants"
"Panicum fauriei var. carteri","Carter's panicgrass","Wherever found","1","Endangered","Flowering Plants"
"Peucedanum sandwicense","Makou","Wherever found","1","Threatened","Flowering Plants"
"Phyllostegia glabra var. lanaiensis","No common name","Wherever found","1","Endangered","Flowering Plants"
"Plantago princeps","Kuahiwi laukahi","Wherever found","1","Endangered","Flowering Plants"
"Poa sandvicensis","Hawaiian bluegrass","Wherever found","1","Endangered","Flowering Plants"
"Portulaca sclerocarpa","Po`e","Wherever found","1","Endangered","Flowering Plants"
"Pritchardia munroi","loulu","Wherever found","1","Endangered","Flowering Plants"
"Pteralyxia kauaiensis","Kaulu","Wherever found","1","Endangered","Flowering Plants"
"Remya kauaiensis","No common name","Wherever found","1","Endangered","Flowering Plants"
"Remya mauiensis","Maui remya","Wherever found","1","Endangered","Flowering Plants"
"Scaevola coriacea","Dwarf naupaka","Wherever found","1","Endangered","Flowering Plants"
"Schiedea adamantis","Diamond Head schiedea","Wherever found","1","Endangered","Flowering Plants"
"Schiedea kaalae","No common name","Wherever found","1","Endangered","Flowering Plants"
"Silene alexandri","No common name","Wherever found","1","Endangered","Flowering Plants"
