"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Cynomys parvidens","Utah prairie dog","Wherever found","6","Threatened","Mammals"
"Lynx canadensis","Canada Lynx","Wherever Found in Contiguous U.S.","6","Threatened","Mammals"
"Gymnogyps californianus","California condor","U.S.A. only, except where listed as an experimental population","8","Endangered","Birds"
"Rallus obsoletus yumanensis","Yuma Ridgway''s rail","Wherever found","2","Endangered","Birds"
"Strix occidentalis lucida","Mexican spotted owl","Wherever found","2","Threatened","Birds"
"Empidonax traillii extimus","Southwestern willow flycatcher","Wherever found","2","Endangered","Birds"
"Gopherus agassizii","Desert tortoise","Wherever found, except AZ south and east of Colorado R., and Mexico","8","Threatened","Reptiles"
"Gila cypha","Humpback chub","Wherever found","6","Threatened","Fishes"
"Ptychocheilus lucius","Colorado pikeminnow (=squawfish)","Wherever found, except where listed as an experimental population","6","Endangered","Fishes"
"Oncorhynchus clarkii stomias","Greenback Cutthroat trout","Wherever found","6","Threatened","Fishes"
"Oncorhynchus clarkii henshawi","Lahontan cutthroat trout","Wherever found","8","Threatened","Fishes"
"Plagopterus argentissimus","Woundfin","Wherever found, except where listed as an experimental population","6","Endangered","Fishes"
"Gila elegans","Bonytail","Wherever found","6","Endangered","Fishes"
"Gila seminuda (=robusta)","Virgin River Chub","Wherever found","6","Endangered","Fishes"
"Lepidomeda mollispinis pratensis","Big Spring spinedace","Wherever found","8","Threatened","Fishes"
"Chasmistes liorus","June sucker","Wherever found","6","Threatened","Fishes"
"Xyrauchen texanus","Razorback sucker","Wherever found","6","Endangered","Fishes"
"Schoenocrambe suffrutescens","Shrubby reed-mustard","Wherever found","6","Endangered","Flowering Plants"
"Arctomecon humilis","Dwarf Bear-poppy","Wherever found","6","Endangered","Flowering Plants"
"Carex specuicola","Navajo sedge","Wherever found","2","Threatened","Flowering Plants"
"Cycladenia humilis var. jonesii","Jones Cycladenia","Wherever found","6","Threatened","Flowering Plants"
"Lepidium barnebyanum","Barneby ridge-cress","Wherever found","6","Endangered","Flowering Plants"
"Lesquerella tumulosa","Kodachrome bladderpod","Wherever found","6","Endangered","Flowering Plants"
"<a target="_blank" ref="noopener noreferrer" href="/ecp/species/3607">Pediocactus (=Echinocactus=Utahia) sileri</a","Siler pincushion cactus","Wherever found","2","Threatened","Flowering Plants"
"Phacelia argillacea","Clay phacelia","Wherever found","6","Endangered","Flowering Plants"
"Ranunculus aestivalis (=acriformis)","Autumn Buttercup","Wherever found","6","Endangered","Flowering Plants"
"Sclerocactus wrightiae","Wright fishhook cactus","Wherever found","6","Endangered","Flowering Plants"
"Townsendia aprica","Last Chance townsendia","Wherever found","6","Threatened","Flowering Plants"
"Asclepias welshii","Welsh's milkweed","Wherever found","6","Threatened","Flowering Plants"
"Astragalus montii","Heliotrope milk-vetch","Wherever found","6","Threatened","Flowering Plants"
"Primula maguirei","Maguire primrose","Wherever found","6","Threatened","Flowering Plants"
"Astragalus holmgreniorum","Holmgren milk-vetch","Wherever found","6","Endangered","Flowering Plants"
"Pediocactus despainii","San Rafael cactus","Wherever found","6","Endangered","Flowering Plants"
"Pediocactus winkleri","Winkler cactus","Wherever found","6","Threatened","Flowering Plants"
"Schoenocrambe barnebyi","Barneby reed-mustard","Wherever found","6","Endangered","Flowering Plants"
"Spiranthes diluvialis","Ute ladies'-tresses","Wherever found","6","Threatened","Flowering Plants"
"Astragalus ampullarioides","Shivwits milk-vetch","Wherever found","6","Endangered","Flowering Plants"
"Schoenocrambe argillacea","Clay reed-mustard","Wherever found","6","Threatened","Flowering Plants"
"Penstemon debilis","Parachute beardtongue","Wherever found","6","Threatened","Flowering Plants"
"Gymnogyps californianus","California condor","U.S.A. (specific portions of Arizona, Nevada, and Utah)","8","Experimental Population, Non-Essential","Birds"
"Centrocercus minimus","Gunnison sage-grouse","Wherever found","6","Threatened","Birds"
"Pediocactus peeblesianus ssp. fickeiseniae","Fickeisen plains cactus","Wherever found","2","Endangered","Flowering Plants"
"Coccyzus americanus","Yellow-billed Cuckoo","Western U.S. DPS","2","Threatened","Birds"
"Mustela nigripes","Black-footed ferret","U.S.A. (WY and specified portions of AZ, CO, MT, SD, and UT, see 17.84(g)(9))","6","Experimental Population, Non-Essential","Mammals"
"Sclerocactus brevispinus","Pariette cactus","Wherever found","6","Threatened","Flowering Plants"
"Sphaeralcea gierischii","Gierisch mallow","Wherever found","2","Endangered","Flowering Plants"
"Sclerocactus wetlandicus","Uinta Basin hookless cactus","Wherever found","6","Threatened","Flowering Plants"
