"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Megapodius laperouse","Micronesian megapode","Wherever found","1","Endangered","Birds"
"Phoebastria (=Diomedea) albatrus","Short-tailed albatross","Wherever found","7","Endangered","Birds"
"Corvus kubaryi","Mariana (=aga) Crow","Wherever found","1","Endangered","Birds"
"Gallinula chloropus guami","Mariana common moorhen","Wherever found","1","Endangered","Birds"
"Aerodramus vanikorensis bartschi","Mariana gray swiftlet","Wherever found","1","Endangered","Birds"
"Eretmochelys imbricata","Hawksbill sea turtle","Wherever found","4","Endangered","Reptiles"
"Serianthes nelsonii","Hayun Iagu (=(Guam), Tronkon guafi (Rota))","Wherever found","1","Endangered","Flowering Plants"
"Acrocephalus luscinia","Nightingale reed warbler (old world warbler)","Wherever found","1","Endangered","Birds"
"Zosterops rotensis","Rota bridled White-eye","Wherever found","1","Endangered","Birds"
"Nesogenes rotensis","No common name","Wherever found","1","Endangered","Flowering Plants"
"Osmoxylon mariannense","No common name","Wherever found","1","Endangered","Flowering Plants"
"Tabernaemontana rotensis","No common name","Wherever found","1","Threatened","Flowering Plants"
"Samoana fragilis","Fragile tree snail","Wherever found","1","Endangered","Snails"
"Partula gibba","Humped tree snail","Wherever found","1","Endangered","Snails"
"Heritiera longipetiolata","Ufa-halomtano","Wherever found","1","Endangered","Flowering Plants"
"Hypolimnas octocula marianensis","Mariana eight-spot butterfly","Wherever found","1","Endangered","Insects"
"Rallus owstoni","Guam rail","Rota","1","Experimental Population, Non-Essential","Birds"
"Vagrans egistina","Mariana wandering butterfly","Wherever found","1","Endangered","Insects"
"Partula langfordi","Langford's tree snail","Wherever found","1","Endangered","Snails"
"Emballonura semicaudata rotensis","Pacific sheath-tailed Bat","Wherever found","1","Endangered","Mammals"
"Pteropus mariannus mariannus","Mariana fruit Bat (=Mariana flying fox)","Wherever found","1","Threatened","Mammals"
"Ischnura luta","Rota blue damselfly","Wherever found","1","Endangered","Insects"
"Bulbophyllum guamense","Cebello halumtano","Wherever found","1","Threatened","Flowering Plants"
"Dendrobium guamense","No common name","Wherever found","1","Threatened","Flowering Plants"
"Maesa walkeri","No common name","Wherever found","1","Threatened","Flowering Plants"
"Nervilia jacksoniae","No common name","Wherever found","1","Threatened","Flowering Plants"
"Solanum guamense","Berenghenas halomtano","Wherever found","1","Endangered","Flowering Plants"
"Tuberolabium guamense","No common name","Wherever found","1","Threatened","Flowering Plants"
"Cycas micronesica","Fadang","Wherever found","1","Threatened","Conifers and Cycads"
"Emoia slevini","Slevin's skink","Wherever found","1","Endangered","Reptiles"
"Chelonia mydas","Green sea turtle","Central South Pacific DPS","1","Endangered","Reptiles"
"Chelonia mydas","Green sea turtle","Central West Pacific DPS","1","Endangered","Reptiles"
