"Scientific Name","Common Name","Where Listed","Region  ","ESA Listing Status  ","Group"
"Myotis sodalis","Indiana bat","Wherever found","3","Endangered","Mammals"
"Trichechus manatus","West Indian Manatee","Wherever found","4","Threatened","Mammals"
"Myotis grisescens","Gray bat","Wherever found","3","Endangered","Mammals"
"Peromyscus polionotus trissyllepsis","Perdido Key beach mouse","Wherever found","4","Endangered","Mammals"
"Peromyscus polionotus ammobates","Alabama beach mouse","Wherever found","4","Endangered","Mammals"
"Picoides borealis","Red-cockaded woodpecker","Wherever found","4","Endangered","Birds"
"Mycteria americana","Wood stork","AL, FL, GA, MS, NC, SC","4","Threatened","Birds"
"Charadrius melodus","Piping Plover","[Atlantic Coast and Northern Great Plains populations] - Wherever found, except those areas where listed as endangered.","5","Threatened","Birds"
"Eretmochelys imbricata","Hawksbill sea turtle","Wherever found","4","Endangered","Reptiles"
"Dermochelys coriacea","Leatherback sea turtle","Wherever found","4","Endangered","Reptiles"
"Lepidochelys kempii","Kemp's ridley sea turtle","Wherever found","2","Endangered","Reptiles"
"Pseudemys alabamensis","Alabama red-bellied turtle","Wherever found","4","Endangered","Reptiles"
"Sternotherus depressus","Flattened musk turtle","Black Warrior R. system upstream from Bankhead Dam","4","Threatened","Reptiles"
"Drymarchon couperi","Eastern indigo snake","Wherever found","4","Threatened","Reptiles"
"Gopherus polyphemus","Gopher tortoise","West of Mobile and Tombigbee Rivers","4","Threatened","Reptiles"
"Phaeognathus hubrichti","Red Hills salamander","Wherever found","4","Threatened","Amphibians"
"Rana sevosa","dusky gopher frog","Wherever found","4","Endangered","Amphibians"
"Etheostoma nuchale","Watercress darter","Wherever found","4","Endangered","Fishes"
"Percina tanasi","Snail darter","Wherever found","4","Threatened","Fishes"
"Speoplatyrhinus poulsoni","Alabama cavefish","Wherever found","4","Endangered","Fishes"
"Etheostoma boschungi","Slackwater darter","Wherever found","4","Threatened","Fishes"
"Cottus paulus (=pygmaeus)","Pygmy Sculpin","Wherever found","4","Threatened","Fishes"
"Scaphirhynchus suttkusi","Alabama sturgeon","Wherever found","4","Endangered","Fishes"
"Notropis cahabae","Cahaba shiner","Wherever found","4","Endangered","Fishes"
"Notropis albizonatus","Palezone shiner","Wherever found","4","Endangered","Fishes"
